cell50,n,x50,y50,in_range
853,26,450000,2385000,TRUE
854,82,500000,2385000,TRUE
855,25,550000,2385000,TRUE
856,202,600000,2385000,TRUE
857,38,650000,2385000,TRUE
858,2,700000,2385000,TRUE
859,55,750000,2385000,TRUE
860,11,800000,2385000,TRUE
861,80,850000,2385000,TRUE
862,21,900000,2385000,TRUE
863,10,950000,2385000,TRUE
864,13,1000000,2385000,TRUE
865,6,1050000,2385000,TRUE
867,77,1350000,2385000,TRUE
868,45,1400000,2385000,TRUE
869,59,1450000,2385000,TRUE
870,758,1500000,2385000,TRUE
871,71,1550000,2385000,TRUE
872,478,1600000,2385000,TRUE
873,62,1650000,2385000,TRUE
874,27,1700000,2385000,TRUE
875,42,1750000,2385000,TRUE
876,333,1800000,2385000,TRUE
877,66,1850000,2385000,TRUE
878,438,1900000,2385000,TRUE
879,193,1950000,2385000,TRUE
880,1086,2000000,2385000,TRUE
881,573,2050000,2385000,TRUE
882,164,2100000,2385000,TRUE
883,2,2150000,2385000,TRUE
884,0,-2350000,2335000,FALSE
885,0,-2300000,2335000,FALSE
886,0,-2250000,2335000,FALSE
887,0,-2200000,2335000,FALSE
888,0,-2150000,2335000,FALSE
889,0,-2100000,2335000,FALSE
890,0,-2050000,2335000,TRUE
891,0,-2000000,2335000,TRUE
892,0,-1950000,2335000,TRUE
893,0,-1900000,2335000,TRUE
894,0,-1850000,2335000,FALSE
895,0,-1800000,2335000,FALSE
896,0,-1750000,2335000,FALSE
897,0,-1700000,2335000,FALSE
898,0,-1650000,2335000,FALSE
899,0,-1600000,2335000,FALSE
900,0,-1550000,2335000,FALSE
901,0,-1500000,2335000,FALSE
902,0,-1450000,2335000,TRUE
903,0,-1400000,2335000,TRUE
904,1,-1350000,2335000,TRUE
905,0,-1300000,2335000,TRUE
906,1,-1250000,2335000,TRUE
907,0,-1200000,2335000,TRUE
908,0,-1150000,2335000,TRUE
909,0,-1100000,2335000,TRUE
910,0,-1050000,2335000,TRUE
911,1,-1000000,2335000,TRUE
912,0,-950000,2335000,TRUE
913,0,-900000,2335000,TRUE
914,0,-850000,2335000,TRUE
915,0,-800000,2335000,TRUE
916,0,-750000,2335000,TRUE
917,0,-700000,2335000,TRUE
918,0,-650000,2335000,TRUE
919,210,-600000,2335000,TRUE
920,0,-550000,2335000,TRUE
921,10,-500000,2335000,TRUE
922,1,-450000,2335000,TRUE
923,2,-400000,2335000,TRUE
924,8,-350000,2335000,TRUE
925,1,-300000,2335000,TRUE
926,3,-250000,2335000,TRUE
927,0,-200000,2335000,TRUE
928,1,-150000,2335000,TRUE
929,6,-100000,2335000,TRUE
930,18,-50000,2335000,TRUE
931,6,0,2335000,TRUE
932,6,50000,2335000,TRUE
933,4,100000,2335000,TRUE
934,64,150000,2335000,TRUE
935,19,200000,2335000,TRUE
936,18,250000,2335000,TRUE
937,95,300000,2335000,TRUE
938,32,350000,2335000,TRUE
939,37,400000,2335000,TRUE
940,53,450000,2335000,TRUE
941,66,500000,2335000,TRUE
942,74,550000,2335000,TRUE
943,16,600000,2335000,TRUE
944,48,650000,2335000,TRUE
945,14,750000,2335000,TRUE
946,15,800000,2335000,TRUE
947,34,850000,2335000,TRUE
948,149,900000,2335000,TRUE
949,203,950000,2335000,TRUE
950,15,1000000,2335000,TRUE
951,13,1050000,2335000,TRUE
